iter	Passed	Remaining
163	247	1259
164	247	1252
165	248	1246
166	248	1240
167	249	1235
168	250	1230
169	250	1224
170	251	1218
171	251	1212
172	252	1206
173	253	1201
174	253	1195
175	254	1191
176	255	1186
177	255	1181
178	256	1175
179	256	1170
180	257	1165
181	258	1159
182	258	1154
183	259	1149
184	259	1144
185	260	1139
186	261	1134
187	261	1129
188	262	1125
189	262	1120
190	263	1115
191	264	1111
192	264	1107
193	265	1102
194	266	1098
195	266	1093
196	267	1089
197	268	1085
198	268	1082
199	269	1078
200	270	1074
201	270	1070
202	271	1065
203	271	1061
204	272	1057
205	273	1052
206	273	1048
207	274	1043
208	274	1039
209	275	1035
210	275	1031
211	276	1027
212	276	1022
213	277	1018
214	277	1014
215	278	1010
216	279	1007
217	279	1003
218	280	999
219	280	995
220	281	992
221	282	988
222	282	984
223	283	981
224	283	977
225	284	973
226	284	970
227	285	966
228	285	962
229	286	959
230	287	955
231	287	952
232	288	948
233	288	945
234	289	941
235	289	938
236	290	934
237	290	931
238	291	928
239	292	924
240	292	921
241	293	918
242	294	916
243	295	915
244	295	912
245	296	908
246	297	905
247	297	902
248	298	899
249	298	895
250	299	893
251	299	890
252	300	887
253	301	884
254	301	881
255	302	878
256	302	874
257	303	871
258	303	868
259	304	865
260	304	862
261	305	860
262	305	857
263	306	854
264	306	851
265	307	848
266	307	845
267	308	842
268	309	840
269	310	838
270	310	835
271	311	833
272	311	830
273	312	827
274	312	824
275	313	822
276	313	819
277	314	816
278	315	814
279	315	811
280	316	809
281	316	806
282	317	803
283	317	801
284	318	798
285	319	796
286	319	793
287	320	791
288	320	789
289	321	786
290	321	784
291	322	781
292	323	779
293	323	777
294	324	775
295	324	772
296	325	770
297	326	768
298	326	766
299	327	764
300	328	762
301	328	760
302	329	757
303	330	755
304	330	753
305	331	750
306	331	748
307	332	746
308	332	743
309	333	741
310	333	739
311	334	737
312	334	734
313	335	732
314	335	730
315	336	728
316	336	725
317	337	723
318	337	721
319	338	719
320	339	717
321	340	715
322	340	713
323	341	711
324	341	709
325	342	707
326	342	705
327	343	703
328	343	701
329	344	699
330	345	697
331	345	695
332	346	693
333	346	691
334	347	689
335	347	687
336	348	685
337	349	683
338	349	681
339	350	679
340	350	677
341	351	675
342	351	674
343	352	672
344	353	670
345	353	668
346	354	667
347	355	665
348	355	663
349	356	662
350	357	660
351	357	658
352	358	656
353	358	654
354	359	652
355	359	650
356	360	648
357	360	646
358	361	644
359	361	643
360	362	641
361	362	639
362	363	637
363	363	635
364	364	633
365	364	632
366	365	630
367	366	628
368	366	627
369	367	625
370	367	623
371	368	622
372	369	621
373	370	619
374	371	618
375	372	618
376	373	616
377	373	615
378	374	613
379	375	611
380	375	610
381	376	608
382	376	606
383	377	605
384	377	603
385	378	601
386	378	600
387	379	598
388	380	597
389	380	595
390	381	593
391	381	592
392	382	590
393	383	589
394	383	587
395	384	586
396	384	584
397	385	582
398	385	581
399	386	579
400	387	578
401	387	576
402	388	575
403	389	574
404	390	573
405	390	571
406	391	570
407	391	568
408	392	567
409	393	565
410	393	564
411	394	562
412	394	560
413	395	559
414	395	557
415	396	556
416	396	554
417	397	553
418	397	551
419	398	550
420	398	548
421	399	547
422	400	545
423	400	544
424	401	543
425	402	541
426	402	540
427	403	538
428	403	537
429	404	535
430	404	534
431	405	532
432	405	531
433	406	530
434	407	528
435	407	527
436	408	526
437	408	524
438	409	523
439	409	521
440	410	520
441	410	518
442	411	517
443	412	516
444	412	514
445	413	513
446	414	512
447	415	511
448	415	510
449	416	508
450	416	507
451	417	506
452	417	504
453	418	503
454	418	501
455	419	500
456	420	499
457	420	497
458	421	496
459	421	494
460	422	493
461	422	492
462	423	490
463	423	489
464	424	488
465	424	486
466	425	485
467	425	484
468	426	482
469	426	481
470	427	480
471	427	478
472	428	477
473	429	476
474	429	474
475	430	473
476	431	472
477	431	471
478	432	470
479	432	468
480	433	467
481	433	466
482	434	464
483	434	463
484	435	462
485	436	461
486	436	460
487	437	459
488	438	457
489	438	456
490	439	455
491	439	454
492	440	452
493	440	451
494	441	450
495	441	449
496	442	447
497	442	446
498	443	445
499	444	444
500	444	442
501	445	441
502	445	440
503	446	439
504	446	438
505	447	436
506	448	435
507	448	434
508	449	433
509	450	432
510	450	431
511	451	430
512	451	429
513	452	427
514	453	426
515	453	425
516	454	424
517	454	423
518	455	421
519	455	420
520	456	419
521	456	418
522	457	417
523	457	415
524	458	414
525	458	413
526	459	412
527	460	411
528	461	410
529	462	409
530	462	408
531	463	407
532	463	406
533	464	405
534	465	404
535	465	403
536	466	402
537	466	400
538	467	399
539	467	398
540	468	397
541	468	396
542	469	395
543	469	393
544	470	392
545	471	391
546	471	390
547	472	389
548	473	388
549	473	387
550	474	386
551	475	386
552	476	385
553	477	384
554	477	383
555	478	381
556	478	380
557	479	379
558	480	378
559	480	377
560	481	376
561	481	375
562	482	374
563	482	373
564	483	372
565	483	371
566	484	369
567	484	368
568	485	367
569	485	366
570	486	365
571	486	364
572	487	363
573	488	362
574	488	361
575	489	360
576	490	359
577	491	358
578	491	357
579	492	356
580	492	355
581	493	354
582	494	353
583	494	352
584	495	351
585	495	350
586	496	349
587	496	348
588	497	347
589	497	346
590	498	344
591	499	343
592	499	342
593	500	341
594	500	340
595	501	339
596	501	338
597	502	337
598	502	336
599	503	335
600	503	334
601	504	333
602	505	332
603	505	331
604	506	330
605	506	329
606	507	328
607	508	327
608	509	327
609	509	326
610	510	325
611	511	324
612	511	323
613	512	322
614	512	320
615	513	319
616	513	318
617	514	317
618	514	316
619	515	315
620	515	314
621	516	313
622	516	312
623	517	311
624	518	310
625	518	309
626	519	308
627	519	307
628	520	306
629	521	306
630	521	305
631	522	304
632	522	303
633	523	302
634	523	301
635	524	300
636	524	299
637	525	298
638	526	297
639	526	296
640	527	295
641	527	294
642	528	293
643	528	292
644	529	291
645	529	290
646	530	289
647	531	288
648	531	287
649	532	286
650	532	285
651	533	284
652	534	283
653	534	282
654	536	282
655	537	281
656	537	280
657	538	279
658	538	278
659	539	277
660	539	276
661	540	275
662	540	274
663	541	273
664	541	272
665	542	271
666	542	270
667	543	270
668	543	269
669	544	268
670	544	267
671	545	266
672	545	265
673	546	264
674	546	263
675	547	262
676	547	261
677	548	260
678	549	259
679	549	258
680	550	257
681	551	257
682	551	256
683	552	255
684	553	254
685	553	253
686	554	252
687	554	251
688	555	250
689	555	249
690	556	248
691	556	247
692	557	246
693	558	246
694	558	245
695	559	244
696	559	243
697	560	242
698	560	241
699	561	240
700	561	239
701	562	238
702	563	237
703	563	236
704	564	236
705	564	235
706	565	234
707	566	233
708	567	232
709	567	231
710	568	231
711	569	230
712	569	229
713	570	228
714	571	227
715	571	226
716	572	225
717	572	225
718	573	224
719	573	223
720	574	222
721	574	221
722	575	220
723	575	219
724	576	218
725	577	217
726	577	216
727	578	216
728	578	215
729	579	214
730	579	213
731	580	212
732	581	211
733	581	210
734	582	209
735	582	209
736	583	208
737	584	207
738	584	206
739	585	205
740	585	204
741	586	203
742	586	202
743	587	202
744	587	201
745	588	200
746	588	199
747	589	198
748	589	197
749	590	196
750	591	195
751	591	195
752	592	194
753	592	193
754	593	192
755	594	191
756	594	190
757	596	190
758	596	189
759	597	188
760	597	187
761	598	186
762	598	186
763	599	185
764	599	184
765	600	183
766	600	182
767	601	181
768	601	180
769	602	179
770	602	179
771	603	178
772	603	177
773	604	176
774	605	175
775	605	174
776	606	173
777	606	173
778	607	172
779	607	171
780	608	170
781	608	169
782	609	168
783	609	167
784	610	167
785	611	166
786	611	165
787	612	164
788	612	163
789	613	163
790	614	162
791	614	161
792	615	160
793	615	159
794	616	158
795	616	158
796	617	157
797	617	156
798	618	155
799	618	154
800	619	153
801	620	153
802	620	152
803	621	151
804	621	150
805	622	149
806	622	148
807	623	148
808	624	147
809	624	146
810	625	145
811	626	144
812	626	144
813	627	143
814	627	142
815	628	141
816	629	140
817	629	140
818	630	139
819	630	138
820	631	137
821	632	136
822	632	136
823	633	135
824	633	134
825	634	133
826	634	132
827	635	131
828	635	131
829	636	130
830	637	129
831	637	128
832	638	127
833	638	127
834	639	126
835	639	125
836	640	124
837	641	123
838	641	123
839	642	122
840	642	121
841	643	120
842	643	119
843	644	119
844	645	118
845	645	117
846	646	116
847	646	115
848	647	115
849	647	114
850	648	113
851	649	112
852	649	111
853	650	111
854	650	110
855	651	109
856	651	108
857	652	107
858	652	107
859	653	106
860	654	105
861	654	104
862	655	104
863	656	103
864	657	102
865	657	101
866	658	100
867	658	100
868	659	99
869	659	98
870	660	97
871	660	97
872	661	96
873	661	95
874	662	94
875	662	93
876	663	93
877	664	92
878	664	91
879	665	90
880	665	89
881	666	89
882	666	88
883	667	87
884	667	86
885	668	85
886	668	85
887	669	84
888	669	83
889	670	82
890	671	82
891	671	81
892	672	80
893	673	79
894	673	79
895	674	78
896	675	77
897	675	76
898	676	75
899	676	75
900	677	74
901	678	73
902	678	72
903	679	72
904	679	71
905	680	70
906	681	69
907	681	69
908	682	68
909	682	67
910	683	66
911	683	65
912	684	65
913	685	64
914	685	63
915	686	62
916	687	62
917	687	61
918	688	60
919	688	59
920	689	59
921	690	58
922	690	57
923	691	56
924	691	56
925	692	55
926	692	54
927	693	53
928	694	53
929	694	52
930	695	51
931	695	50
932	696	49
933	696	49
934	697	48
935	697	47
936	698	46
937	698	46
938	699	45
939	699	44
940	700	43
941	701	43
942	702	42
943	702	41
944	703	40
945	703	40
946	704	39
947	704	38
948	705	37
949	706	37
950	706	36
951	707	35
952	707	34
953	708	34
954	708	33
955	709	32
956	710	31
957	710	31
958	711	30
959	711	29
960	712	28
961	712	28
962	713	27
963	714	26
964	714	25
965	715	25
966	716	24
967	716	23
968	717	22
969	718	22
970	718	21
971	719	20
972	719	19
973	720	19
974	720	18
975	721	17
976	721	16
977	722	16
978	722	15
979	723	14
980	724	14
981	724	13
982	725	12
983	725	11
984	726	11
985	726	10
986	727	9
987	727	8
988	728	8
989	728	7
990	729	6
991	729	5
992	730	5
993	731	4
994	732	3
995	732	2
996	733	2
997	734	1
998	734	0
999	735	0
